en;es
Nasty Plot;Maquinación
Natural Gift;Don natural
Nature Power;Adaptación
Nature’s Madness;Furia natural
Needle Arm;Brazo pincho
Never-Ending Nightmare;Presa espectral
Night Daze;Pulso noche
Night Shade;Tinieblas
Night Slash;Tajo umbrío
Nightmare;Pesadilla
Nihil Light;Luz devastadora
No Retreat;Bastión final
Noble Roar;Rugido de guerra
Noxious Torque;Ponzochoque
Nuzzle;Moflete estático
Oblivion Wing;Ala mortífera
Obstruct;Obstrucción
Oceanic Operetta;Sinfonía de la diva marina
Octazooka;Pulpocañón
Octolock;Octopresa
Odor Sleuth;Rastreo
Ominous Wind;Viento aciago
Order Up;Oído cocina
Origin Pulse;Pulso primigenio
Outrage;Enfado
Overdrive;Amplificador
Overheat;Sofoco
Pain Split;Divide dolor
Parabolic Charge;Carga parábola
Parting Shot;Última palabra
Pay Day;Día de pago
Payback;Vendetta
Peck;Picotazo
Perish Song;Canto mortal
Petal Blizzard;Tormenta floral
Petal Dance;Danza pétalo
Phantom Force;Golpe fantasma
Photon Geyser;Géiser fotónico
Pika Papow;Pikatormenta
Pin Missile;Pin misil
Plasma Fists;Puños plasma
Play Nice;Camaradería
Play Rough;Carantoña
Pluck;Picoteo
Poison Fang;Colmillo veneno
Poison Gas;Gas venenoso
Poison Jab;Puya nociva
Poison Powder;Polvo veneno
Poison Sting;Picotazo veneno
Poison Tail;Cola veneno
Pollen Puff;Bola de polen
Poltergeist;Poltergeist
Population Bomb;Proliferación
Pounce;Brinco
Pound;Destructor
Powder Snow;Nieve polvo
Powder;Polvo explosivo
Power Gem;Joya de luz
Power Shift;Cambiapoder
Power Split;Isofuerza
Power Swap;Cambiafuerza
Power Trick;Truco fuerza
Power Trip;Chulería
Power Whip;Latigazo
Power-Up Punch;Puño incremento
Precipice Blades;Filo del abismo
Present;Presente
Prismatic Laser;Láser prisma
Protect;Protección
Psybeam;Psicorrayo
Psyblade;Psicohojas
Psych Up;Autosugestión
Psychic Fangs;Psicocolmillo
Psychic Noise;Psicorruido
Psychic Terrain;Campo psíquico
Psychic;Psíquico
Psycho Boost;Psicoataque
Psycho Cut;Psicocorte
Psycho Shift;Psicocambio
Psyshield Bash;Asalto barrera
Psyshock;Psicocarga
Psystrike;Onda mental
Psywave;Psicoonda
Pulverizing Pancake;Arrojo intempestivo
Punishment;Castigo
Purify;Purificación
Pursuit;Persecución
Pyro Ball;Balón ígneo
Quash;Último lugar
Quick Attack;Ataque rápido
Quick Guard;Anticipo
Quiver Dance;Danza aleteo
Rage Fist;Puño furia
Rage Powder;Polvo ira
Rage;Furia
Raging Bull;Furia taurina
Raging Fury;Erupción de ira
Rain Dance;Danza lluvia
Rapid Spin;Giro rápido
Razor Leaf;Hoja afilada
Razor Shell;Concha filo
Razor Wind;Viento cortante
Recover;Recuperación
Recycle;Reciclaje
Reflect Type;Clonatipo
Reflect;Reflejo
Refresh;Alivio
Relic Song;Canto arcaico
Rest;Descanso
Retaliate;Represalia
Return;Retribución
Revelation Dance;Danza despertar
Revenge;Desquite
Reversal;Inversión
Revival Blessing;Plegaria vital
Rising Voltage;Alto voltaje
Roar of Time;Distorsión
Roar;Rugido
Rock Blast;Pedrada
Rock Climb;Treparrocas
Rock Polish;Pulimento
Rock Slide;Avalancha
Rock Smash;Golpe roca
Rock Throw;Lanzarrocas
Rock Tomb;Tumba rocas
Rock Wrecker;Romperrocas
Role Play;Imitación
Rolling Kick;Patada giro
Rollout;Rodar
Roost;Respiro
Rototiller;Fertilizante
Round;Canon
Ruination;Calamidad
Sacred Fire;Fuego sagrado
Sacred Sword;Espada santa
Safeguard;Velo sagrado
Salt Cure;Salazón
Sand Attack;Ataque arena
Sand Tomb;Bucle arena
Sandsear Storm;Simún de arena
Sandstorm;Tormenta de arena
Sappy Seed;Leafitobombas
Savage Spin-Out;Guadaña sedosa
Scald;Escaldar
Scale Shot;Ráfaga escamas
Scary Face;Cara susto
Scorching Sands;Arenas ardientes
Scratch;Arañazo
Screech;Chirrido
Searing Shot;Bomba ígnea
Searing Sunraze Smash;Embestida solar
Secret Power;Daño secreto
Secret Sword;Sable místico
Seed Bomb;Bomba germen
Seed Flare;Fulgor semilla
Seismic Toss;Sísmico
Self-Destruct;Autodestrucción
Shadow Ball;Bola sombra
Shadow Bone;Hueso sombrío
Shadow Claw;Garra umbría
Shadow Force;Golpe umbrío
Shadow Punch;Puño sombra
Shadow Sneak;Sombra vil
Sharpen;Afilar
Shattered Psyche;Disruptor psíquico
Shed Tail;Autotomía
Sheer Cold;Frío polar
Shell Side Arm;Moluscañón
Shell Smash;Rompecoraza
Shell Trap;Coraza trampa
Shelter;Retracción
Shift Gear;Cambio de marcha
Shock Wave;Onda voltio
Shore Up;Recogearena
Signal Beam;Rayo señal
Silk Trap;Telatrampa
Silver Wind;Viento plata
Simple Beam;Onda simple
Sing;Canto
Sinister Arrow Raid;Aluvión de flechas sombrías
Sizzly Slide;Flarembestida
Sketch;Esquema
Skill Swap;Intercambio
Skitter Smack;Golpe rastrero
Skull Bash;Cabezazo
Sky Attack;Ataque aéreo
Sky Drop;Caída libre
Sky Uppercut;Gancho alto
Slack Off;Relajo
Slam;Atizar
Slash;Cuchillada
Sleep Powder;Somnífero
Sleep Talk;Sonámbulo
Sludge Bomb;Bomba lodo
Sludge Wave;Onda tóxica
Sludge;Residuos
Smack Down;Antiaéreo
Smart Strike;Cuerno certero
Smelling Salts;Estímulo
Smog;Polución
Smokescreen;Pantalla de humo
Snap Trap;Cepo
Snarl;Alarido
Snatch;Robo
Snipe Shot;Disparo certero
Snore;Ronquido
Snowscape;Paisaje nevado
Soak;Empapar
Soft-Boiled;Ovocuración
Solar Beam;Rayo solar
Solar Blade;Cuchilla solar
Sonic Boom;Bomba sónica
Soul-Stealing 7-Star Strike;Constelación robaalmas
Spacial Rend;Corte vacío
Spark;Chispa
Sparkling Aria;Aria burbuja
Sparkly Swirl;Sylveotornado
Spectral Thief;Robasombra
Speed Swap;Cambiavelocidad
Spicy Extract;Extracto picante
Spider Web;Telaraña
Spike Cannon;Clavo cañón
Spikes;Púas
Spiky Shield;Barrera espinosa
Spin Out;Quemarrueda
Spirit Break;Choque anímico
Spirit Shackle;Puntada sombría
Spit Up;Escupir
Spite;Rencor
Splash;Salpicadura
Splintered Stormshards;Tempestad rocosa
Splishy Splash;Salpikasurf
Spore;Espora
Spotlight;Foco
Springtide Storm;Ciclón primavera
Stealth Rock;Trampa rocas
Steam Eruption;Chorro de vapor
Steamroller;Rodillo de púas
Steel Beam;Metaláser
Steel Roller;Allanador férreo
Steel Wing;Ala de acero
Sticky Web;Red viscosa
Stockpile;Reserva
Stoked Sparksurfer;Surfeo galvánico
Stomp;Pisotón
Stomping Tantrum;Pataleta
Stone Axe;Hachazo pétreo
Stone Edge;Roca afilada
Stored Power;Poder reserva
Storm Throw;Llave corsé
Strange Steam;Cautivapor
Strength Sap;Absorbefuerza
Strength;Fuerza
String Shot;Disparo demora
Struggle Bug;Estoicismo
Struggle;Forcejeo
Stuff Cheeks;Atiborramiento
Stun Spore;Paralizador
Submission;Sumisión
Substitute;Sustituto
Subzero Slammer;Crioaliento despiadado
Sucker Punch;Golpe bajo
Sunny Day;Día soleado
Sunsteel Strike;Meteoimpacto
Super Fang;Superdiente
Supercell Slam;Plancha voltaica
Superpower;Fuerza bruta
Supersonic Skystrike;Picado supersónico
Supersonic;Supersónico
Surf;Surf
Surging Strikes;Azote torrencial
Swagger;Fanfarronear
Swallow;Tragar
Sweet Kiss;Beso dulce
Sweet Scent;Dulce aroma
Swift;Meteoros
Switcheroo;Trapicheo
Swords Dance;Danza espada
Synchronoise;Sincrorruido
Synthesis;Fotosíntesis
Syrup Bomb;Bomba caramelo
Tachyon Cutter;Tajo taquión
Tackle;Placaje
Tail Glow;Luminicola
Tail Slap;Plumerazo
Tail Whip;Agitacola
Tailwind;Viento afín
Take Down;Derribo
Take Heart;Bálsamo osado
Tar Shot;Alquitranazo
Taunt;Mofa
Tearful Look;Ojos llorosos
Teatime;Hora del té
Techno Blast;Tecno shock
Tectonic Rage;Barrena telúrica
Teeter Dance;Danza caos
Telekinesis;Telequinesis
Teleport;Teletransporte
Temper Flare;Cólera ardiente
Tera Blast;Teraexplosión
Tera Starstorm;Teraclúster
Terrain Pulse;Pulso de campo
Thief;Ladrón
Thousand Arrows;Mil flechas
Thousand Waves;Mil temblores
Thrash;Saña
Throat Chop;Golpe mordaza
Thunder Cage;Electrojaula
Thunder Fang;Colmillo rayo
Thunder Punch;Puño trueno
Thunder Shock;Impactrueno
Thunder Wave;Onda trueno
Thunder;Trueno
Thunderbolt;Rayo
Thunderclap;Relámpago súbito
Thunderous Kick;Patada relámpago
Tickle;Cosquillas
Tidy Up;Limpieza general
Topsy-Turvy;Reversión
Torch Song;Canto ardiente
Torment;Tormento
Toxic Spikes;Púas tóxicas
Toxic Thread;Hilo venenoso
Toxic;Tóxico
Trailblaze;Abrecaminos
Transform;Transformación
Tri Attack;Triataque
Trick Room;Espacio raro
Trick-or-Treat;Halloween
Trick;Truco
Triple Arrows;Triple flecha
Triple Axel;Triple axel
Triple Dive;Triple inmersión
Triple Kick;Triple patada
Trop Kick;Patada tropical
Trump Card;As oculto
Twin Beam;Láser doble
Twineedle;Doble ataque
Twinkle Tackle;Arrumaco sideral
Twister;Ciclón
U-turn;Ida y vuelta
Upper Hand;Palma rauda
Uproar;Alboroto
V-create;V de fuego
Vacuum Wave;Onda vacío
Veevee Volley;Eevimpacto
Venom Drench;Trampa venenosa
Venoshock;Carga tóxica
Victory Dance;Danza triunfal
Vine Whip;Látigo cepa
Vise Grip;Agarre
Vital Throw;Llave vital
Volt Switch;Voltiocambio
Volt Tackle;Placaje eléctrico
Wake-Up Slap;Espabila
Water Gun;Pistola agua
Water Pledge;Voto agua
Water Pulse;Hidropulso
Water Shuriken;Shuriken de agua
Water Sport;Hidrochorro
Water Spout;Salpicar
Waterfall;Cascada
Wave Crash;Envite acuático
Weather Ball;Meteorobola
Whirlpool;Torbellino
Whirlwind;Remolino
Wicked Blow;Golpe oscuro
Wicked Torque;Ominochoque
Wide Guard;Vasta guardia
Wild Charge;Voltio cruel
Wildbolt Storm;Electormenta
Will-O-Wisp;Fuego fatuo
Wing Attack;Ataque ala
Wish;Deseo
Withdraw;Refugio
Wonder Room;Zona extraña
Wood Hammer;Mazazo
Work Up;Avivar
Worry Seed;Abatidoras
Wrap;Constricción
Wring Out;Estrujón
X-Scissor;Tijera X
Yawn;Bostezo
Zap Cannon;Electrocañón
Zen Headbutt;Cabezazo zen
Zing Zap;Electropunzada
Zippy Zap;Pikaturbo
