Cacofonía;Cacophony
Espejo mágico;Magic Bounce
Herbívoro;Sap Sipper
Bromista;Prankster
Poder arena;Sand Force
Punta acero;Iron Barbs
Modo daruma;Zen Mode
Tinovictoria;Victory Star
Turbollama;Turboblaze
Terravoltaje;Teravolt
Velo aroma;Aroma Veil
Velo flor;Flower Veil
Carrillo;Cheek Pouch
Mutatipo;Protean
Pelaje recio;Fur Coat
Prestidigitador;Magician
Antibalas;Bulletproof
Tenacidad;Competitive
Mandíbula fuerte;Strong Jaw
Piel helada;Refrigerate
Velo dulce;Sweet Veil
Cambio táctico;Stance Change
Alas vendaval;Gale Wings
Megadisparador;Mega Launcher
Manto frondoso;Grass Pelt
Simbiosis;Symbiosis
Garra dura;Tough Claws
Piel feérica;Pixilate
Baba;Gooey
Piel celeste;Aerilate
Amor filial;Parental Bond
Aura oscura;Dark Aura
Aura feérica;Fairy Aura
Rompeaura;Aura Break
Mar del albor;Primordial Sea
Tierra del ocaso;Desolate Land
Ráfaga delta;Delta Stream
Firmeza;Stamina
Huida;Wimp Out
Retirada;Emergency Exit
Hidrorrefuerzo;Water Compaction
Ensañamiento;Merciless
Escudo limitado;Shields Down
Vigilante;Stakeout
Pompa;Water Bubble
Acero templado;Steelworker
Cólera;Berserk
Quitanieves;Slush Rush
Remoto;Long Reach
Voz fluida;Liquid Voice
Primer auxilio;Triage
Piel eléctrica;Galvanize
Cola surf;Surge Surfer
Banco;Schooling
Disfraz;Disguise
Fuerte afecto;Battle Bond
Agrupamiento;Power Construct
Corrosión;Corrosion
Letargo perenne;Comatose
Regia presencia;Queenly Majesty
Revés;Innards Out
Pareja de baile;Dancer
Batería;Battery
Peluche;Fluffy
Cuerpo vívido;Dazzling
Coránima;Soul-Heart
Rizos rebeldes;Tangling Hair
Receptor;Receiver
Reacción química;Power of Alchemy
Ultraimpulso;Beast Boost
Sistema alfa;RKS System
Electrogénesis;Electric Surge
Psicogénesis;Psychic Surge
Nebulogénesis;Misty Surge
Herbogénesis;Grassy Surge
Guardia metálica;Full Metal Body
Guardia espectro;Shadow Shield
Armadura prisma;Prism Armor
Fuerza cerebral;Neuroforce
Espada indómita;Intrepid Sword
Escudo recio;Dauntless Shield
Líbero;Libero
Recogebolas;Ball Fetch
Pelusa;Cotton Down
Hélice caudal;Propeller Tail
Coraza reflejo;Mirror Armor
Tragamisil;Gulp Missile
Acérrimo;Stalwart
Combustible;Steam Engine
Punk rock;Punk Rock
Expulsarena;Sand Spit
Escama de hielo;Ice Scales
Maduración;Ripen
Cara de hielo;Ice Face
Fuente energía;Power Spot
Mimetismo;Mimicry
Antibarrera;Screen Cleaner
Alma acerada;Steely Spirit
Cuerpo mortal;Perish Body
Alma errante;Wandering Spirit
Monotema;Gorilla Tactics
Gas reactivo;Neutralizing Gas
Velo pastel;Pastel Veil
Mutapetito;Hunger Switch
Mano rápida;Quick Draw
Puño invisible;Unseen Fist
Medicina extraña;Curious Medicine
Transistor;Transistor
Mandíbula dragón;Dragon's Maw
Relincho blanco;Chilling Neigh
Relincho negro;Grim Neigh
Unidad ecuestre;As One
Unidad ecuestre;As One
Olor persistente;Lingering Aroma
Disemillar;Seed Sower
Termoconversión;Thermal Exchange
Coraza ira;Anger Shell
Sal purificadora;Purifying Salt
Cuerpo horneado;Well-Baked Body
Surcavientos;Wind Rider
Perro guardián;Guard Dog
Transportarrocas;Rocky Payload
Energía eólica;Wind Power
Cambio heroico;Zero to Hero
Comandar;Commander
Dinamo;Electromorphosis
Paleosíntesis;Protosynthesis
Carga cuark;Quark Drive
Cuerpo áureo;Good as Gold
Caldero debacle;Vessel of Ruin
Espada debacle;Sword of Ruin
Tablilla debacle;Tablets of Ruin
Abalorio debacle;Beads of Ruin
Latido oricalco;Orichalcum Pulse
Motor hadrónico;Hadron Engine
Oportunista;Opportunist
Rumia;Cud Chew
Cortante;Sharpness
General supremo;Supreme Overlord
Unísono;Costar
Capa tóxica;Toxic Debris
Cola armadura;Armor Tail
Geofagia;Earth Eater
Poder fúngico;Mycelium Might
Hospitalidad;Hospitality
Ojo mental;Mind's Eye
Evocarrecuerdos;Embody Aspect
Evocarrecuerdos;Embody Aspect
Evocarrecuerdos;Embody Aspect
Evocarrecuerdos;Embody Aspect
Cadena tóxica;Toxic Chain
Néctar dulce;Supersweet Syrup
Teracambio;Tera Shift
Teracaparazón;Tera Shell
Teraformación 0;Teraform Zero
Títere tóxico;Poison Puppeteer
